TIMESTAMP_END,LW_IN_T1_47_1,PA_T1_47_1,PPFD_IN_T1_47_1,RH_T1_47_1,SW_IN_T1_47_1,TA_T1_47_1
2024-01-01 00:30:00,322.2823233333333,92570.85266666667,0.0,99.99799,0.0,1.6842777
2024-01-01 01:00:00,316.7827066666667,92576.21266666666,0.0,99.99799,0.0,1.7604832666666668
2024-01-01 01:30:00,314.23584,92586.08933333334,0.0,99.99799,0.0,1.7733166333333334
2024-01-01 02:00:00,321.64846666666665,92577.48733333334,0.0,99.99799,0.0,1.8957943666666668
2024-01-01 02:30:00,318.2495933333333,92559.69399999999,0.0,99.99799,0.0,1.9660110333333334
2024-01-01 03:00:00,313.66838666666666,92564.03966666666,0.0,99.99799,0.0,1.9889776666666668
2024-01-01 03:30:00,322.5905466666666,92589.841,0.0,99.99799,0.0,2.1802166
2024-01-01 04:00:00,324.24604999999997,92613.68066666667,0.0,99.99799,0.0,2.0537332333333334
2024-01-01 04:30:00,324.65725333333336,92631.26366666667,0.0,99.99799,0.0,1.8215832666666667
2024-01-01 05:00:00,322.50646666666665,92623.56433333334,0.0,99.99799,0.0,1.8423667
2024-01-01 05:30:00,322.15160333333336,92637.98133333333,0.0,99.99799,0.0,1.9971999666666667
2024-01-01 06:00:00,322.28482333333335,92661.704,0.0,99.99799,0.0,2.0774611
2024-01-01 06:30:00,321.89493666666664,92686.573,0.0,99.99799,0.0,2.077838766666667
2024-01-01 07:00:00,321.73021,92685.46133333333,0.0,99.99799,0.0,2.169255533333333
2024-01-01 07:30:00,320.2032966666667,92682.80266666667,0.0,99.99799,0.0,2.2199943666666666
2024-01-01 08:00:00,300.2049833333333,92691.212,0.0,99.99799,0.0,2.2647110666666666
2024-01-01 08:30:00,299.0724833333333,92719.01233333333,4.696285902692171,99.99799,2.8893482226213245,2.2338721333333336
2024-01-01 09:00:00,296.8390166666667,92745.633,30.836836903648603,99.99799,18.462480700921006,2.2467832666666667
2024-01-01 09:30:00,309.45132333333333,92758.40466666667,61.911321570315266,99.56374366666667,38.17768873425434,2.433994466666667
